Mes,r_Optimista,hipoteca_var_Optimista,r_Base,hipoteca_var_Base,r_Pesimista,hipoteca_var_Pesimista
21,0.06942615360173594,0.11942615360173595,0.061888474734948885,0.1118884747349489,0.14821174342364743,0.19821174342364745
22,0.06657839731742421,0.11657839731742421,0.06749935342382755,0.11749935342382756,0.13987452623283675,0.18987452623283674
23,0.06677714070420247,0.11677714070420248,0.07822337100118384,0.12822337100118386,0.12487452623283675,0.17487452623283675
24,0.05189267932900225,0.10189267932900226,0.08833908173591061,0.1383390817359106,0.1179619851600466,0.16796198516004662
25,0.04633723471233742,0.09633723471233743,0.07359306402750414,0.12359306402750414,0.10889309861248528,0.1588930986124853
26,0.04756478613955444,0.09756478613955444,0.06372116272319933,0.11372116272319933,0.10927823969898462,0.15927823969898464
27,0.03600660030467891,0.08600660030467891,0.06881635443832809,0.1188163544383281,0.11158560020514276,0.16158560020514276
28,0.04021065478957872,0.09021065478957872,0.0737503137658479,0.1237503137658479,0.12658560020514276,0.17658560020514275
29,0.0344275464452853,0.0844275464452853,0.07855311405352743,0.12855311405352743,0.13453791739519277,0.18453791739519276
30,0.03193457737042642,0.08193457737042642,0.09355311405352743,0.14355311405352744,0.1268267405555359,0.17682674055553588
31,0.026382064725938795,0.0763820647259388,0.09834254788576334,0.14834254788576334,0.11609204478992896,0.16609204478992895
32,0.04138206472593879,0.0913820647259388,0.10869755831314185,0.15869755831314186,0.11971786264011036,0.16971786264011035
33,0.04149705021055646,0.09149705021055646,0.116916093424145,0.16691609342414498,0.10492861085744426,0.15492861085744425
34,0.03105833334549235,0.08105833334549235,0.12183745669933457,0.1718374566993346,0.11992861085744426,0.16992861085744426
35,0.03992148783532382,0.08992148783532383,0.11684850050521517,0.16684850050521516,0.13038898595328635,0.18038898595328634
36,0.027880492266015612,0.07788049226601562,0.12285876320625222,0.1728587632062522,0.12388726347145111,0.17388726347145111
37,0.030635924998921888,0.08063592499892189,0.11321704281386508,0.16321704281386507,0.10888726347145111,0.1588872634714511
38,0.01563592499892189,0.06563592499892189,0.10927215155399436,0.15927215155399438,0.12143207676447444,0.17143207676447444
39,0.01,0.060000000000000005,0.10293111357127514,0.15293111357127515,0.1187747063419437,0.1687747063419437
40,0.013155679698302381,0.06315567969830238,0.1025061820793643,0.15250618207936428,0.12985854840649447,0.17985854840649446
41,0.021691498585190015,0.07169149858519001,0.1175061820793643,0.1675061820793643,0.11485854840649447,0.16485854840649447
42,0.024248604867111515,0.07424860486711152,0.1025061820793643,0.15250618207936428,0.10749431078813348,0.15749431078813347
43,0.023831219803211144,0.07383121980321114,0.10820013728420269,0.15820013728420268,0.10645370712374684,0.15645370712374684
44,0.02155223564749098,0.07155223564749098,0.09320013728420269,0.1432001372842027,0.10586514852229756,0.15586514852229755
45,0.01,0.060000000000000005,0.08746357512607467,0.13746357512607466,0.10027178682094601,0.150271786820946
46,0.01,0.060000000000000005,0.09766490779003047,0.14766490779003047,0.10568190478718253,0.15568190478718252
47,0.01,0.060000000000000005,0.09721580949023281,0.14721580949023283,0.09385434107403631,0.14385434107403633
48,0.021847438199458648,0.07184743819945866,0.08524121422113505,0.13524121422113505,0.09172003986430474,0.14172003986430476
49,0.026140346544972295,0.0761403465449723,0.07727784833054763,0.12727784833054762,0.09230196122024187,0.14230196122024186
